udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,power_w,failure_type
1,M14860,0.3,0.30434782608695343,0.3580246913580325,0.2532981530343008,0.19117647058823495,-1.0,0.46947528760973195,1
2,L47181,0.6,0.3152173913043441,0.3703703703703738,-0.5013192612137203,0.4485294117647057,-0.9722222222222222,0.3825710506273298,1
5,L47184,0.6,0.3152173913043441,0.3703703703703738,-0.5013192612137203,-0.014705882352941391,-0.9166666666666666,-0.26391950935984204,1
6,M14865,0.3,0.30434782608695343,0.3580246913580325,-0.41160949868073876,0.12499999999999974,-0.8981481481481481,-0.017032472478017032,1
7,L47186,0.6,0.30434782608695343,0.3580246913580325,0.29023746701846964,0.1617647058823527,-0.8703703703703703,0.44589074292044567,1
8,L47187,0.6,0.30434782608695343,0.3580246913580325,0.1266490765171504,0.0,-0.8518518518518519,0.10525586971652649,1
9,M14868,0.3,0.3260869565217348,0.3703703703703738,0.8654353562005277,-0.8529411764705886,-0.8333333333333334,-0.8938950575219456,1
11,H29424,0.1,0.3369565217391255,0.3950617283950635,1.4722955145118735,-1.1985294117647067,-0.7777777777777778,-1.2646009540225274,1
12,H29425,0.1,0.35869565217391397,0.4197530864197603,-0.42216358839050133,0.3014705882352938,-0.7314814814814815,0.22576589642769912,1
16,L47195,0.6,0.35869565217391397,0.4320987654321016,0.20580474934036938,0.6029411764705882,-0.6111111111111112,1.0707499899787547,1
17,M14876,0.3,0.35869565217391397,0.4320987654321016,-1.0131926121372032,0.47058823529411775,-0.5925925925925926,0.08391608391608445,1
18,M14877,0.3,0.36956521739129755,0.4320987654321016,-0.49076517150395776,0.39705882352941185,-0.5648148148148148,0.31738558471231754,1
19,H29432,0.1,0.38043478260869534,0.4320987654321016,-1.0395778364116095,1.0514705882352944,-0.5370370370370371,0.8188851273791347,1
22,L47201,0.6,0.38043478260869534,0.44444444444444997,-0.2796833773087071,0.3382352941176468,-0.4166666666666667,0.3657790880302602,1
25,M14884,0.3,0.4021739130434767,0.45679012345679126,0.30606860158311344,-0.21323529411764758,-0.35185185185185186,-0.12505784991454566,1
26,L47205,0.6,0.4021739130434767,0.46913580246913966,1.8891820580474934,-1.24264705882353,-0.32407407407407407,-1.20837265912826,1
27,L47206,0.6,0.4130434782608674,0.46913580246913966,0.047493403693931395,-0.0882352941176473,-0.3055555555555556,-0.07092855034491254,1
28,H29441,0.1,0.4130434782608674,0.45679012345679126,1.6253298153034301,-1.1470588235294124,-0.28703703703703703,-1.1216943556703833,1
29,L47208,0.6,0.4130434782608674,0.45679012345679126,-0.33773087071240104,0.29411764705882365,-0.24074074074074073,0.2669368151390045,1
30,L47209,0.6,0.4021739130434767,0.45679012345679126,1.0026385224274406,-0.7426470588235299,-0.2222222222222222,-0.6546168786919173,1
31,M14890,0.3,0.4130434782608674,0.46913580246913966,-0.8654353562005277,0.5882352941176473,-0.2037037037037037,0.33515416318959884,1
32,L47211,0.6,0.4021739130434767,0.45679012345679126,1.5567282321899736,-1.080882352941177,-0.17592592592592593,-1.027064649784816,1
33,L47212,0.6,0.4021739130434767,0.45679012345679126,-0.44327176781002636,0.5955882352941175,-0.1574074074074074,0.6265282398685211,1
34,L47213,0.6,0.3913043478260789,0.44444444444444997,0.8548812664907651,-0.5661764705882357,-0.1388888888888889,-0.4248060433573718,1
36,M14895,0.3,0.38043478260869534,0.4320987654321016,-0.2691292875989446,0.6176470588235295,-0.09259259259259259,0.7744418166513005,1
37,M14896,0.3,0.3913043478260789,0.4320987654321016,0.41160949868073876,-0.2573529411764707,-0.06481481481481481,-0.13982369896908659,1
38,L47217,0.6,0.38043478260869534,0.4197530864197603,-0.33773087071240104,-0.07352941176470591,-0.037037037037037035,-0.2574476071088886,1
39,H29452,0.1,0.3913043478260789,0.4320987654321016,-0.6543535620052771,0.7720588235294121,-0.018518518518518517,0.7269301828968329,1
40,L47219,0.6,0.38043478260869534,0.4197530864197603,-0.8073878627968337,0.9044117647058825,0.027777777777777776,0.7968748291833226,1
41,L47220,0.6,0.38043478260869534,0.4197530864197603,-0.7440633245382586,0.38235294117647045,0.046296296296296294,0.13800894259466426,1
42,L47221,0.6,0.38043478260869534,0.4197530864197603,-0.712401055408971,0.7794117647058822,0.06481481481481481,0.696254240808696,1
43,M14902,0.3,0.38043478260869534,0.4197530864197603,-0.712401055408971,0.6544117647058825,0.08333333333333333,0.5267603683445272,1
